database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	MN063A	MN063B	MN063C	CS063A	CS063B	CS063C	AM063A	AM063B	AM063C	MN073A	MN073B	MN073C	CS073A	CS073B	CS073C	AM073A	AM073B	AM073C	MN083A	MN083B	MN083C	CS083A	CS083B	CS083C	AM083A	AM083B	AM083C
CHEBI:29560	C30H27O13	O[C@@H]1[C@@H](COC(=O)C=Cc2ccc(O)cc2)O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@H]1O	InChI=1S/C30H26O13/c31-16-5-1-14(2-6-16)3-8-25(36)40-13-24-26(37)27(38)28(39)30(43-24)42-23-12-18-20(34)10-17(32)11-22(18)41-29(23)15-4-7-19(33)21(35)9-15/h1-12,24,26-28,30,37-39H,13H2,(H4-,31,32,33,34,35,36)/p+1/t24-,26-,27+,28-,30-/m1/s1	cyanidin-(coumaroyl)-3-O glucoside, trans isomer	593.435499				27.58450808	NEWT:29760	Vitis vinifera (Grape)										570,212	1,146,954	1,265,932	740,907	1,594,871	1,672,119	1,473,363	1,560,955	1,405,230	2,201,810	1,765,813	1,708,407	1,663,398	1,301,340	1,535,818	1,990,944	2,199,749	2,996,323	2,376,998	1,999,703	2,536,027	1,730,290	1,715,963	1,908,214	3,278,405	2,785,963	2,200,979
CHEBI:75675	C30H27O14	O[C@@H]1[C@@H](COC(=O)C=C/c2ccc(O)cc2)O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)[C@H](O)[C@H]1O	InChI=1S/C30H26O14/c31-15-4-1-13(2-5-15)3-6-24(36)41-12-23-26(38)27(39)28(40)30(44-23)43-22-11-17-18(33)9-16(32)10-21(17)42-29(22)14-7-19(34)25(37)20(35)8-14/h1-11,23,26-28,30,38-40H,12H2,(H5-,31,32,33,34,35,36,37)/p+1/t23-,26-,27+,28-,30-/m1/s1	delfinidin-(coumaroyl)-3-O glucoside, cis isomer	609.1732048				22.9960399	NEWT:29760	Vitis vinifera (Grape)										78,128	21,753	47,402	178,590	67,266	51,171	62,714	32,414	37,411	45,548	55,723	58,594	36,814	29,272	16,501	63,188	70,378	137,113	455,868	261,058	311,806	145,237	142,183	106,212	132,859	157,812	115,499
CHEBI:75678	C23H23O13	CC(=O)OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C23H22O13/c1-8(24)33-7-17-19(30)20(31)21(32)23(36-17)35-16-6-11-12(26)4-10(25)5-15(11)34-22(16)9-2-13(27)18(29)14(28)3-9/h2-6,17,19-21,23,30-32H,7H2,1H3,(H4-,25,26,27,28,29)/p+1/t17-,19-,20+,21-,23-/m1/s1	delphinidin-(acetyl)-3-O-glucoside	505.7134148				19.38963261	NEWT:29760	Vitis vinifera (Grape)										73,722	57,684	20,420	80,262	14,724	80,486	27,613	25,455	66,182	67,631	99,151	84,989	42,239	85,765	124,704	80,772	91,202	67,456	46,536	103,917	118,105	50,811	66,258	53,815	96,674	88,219	58,412
CHEBI:75677	C30H27O14	O[C@@H]1[C@@H](COC(=O)C=Cc2ccc(O)cc2)O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)[C@H](O)[C@H]1O	InChI=1S/C30H26O14/c31-15-4-1-13(2-5-15)3-6-24(36)41-12-23-26(38)27(39)28(40)30(44-23)43-22-11-17-18(33)9-16(32)10-21(17)42-29(22)14-7-19(34)25(37)20(35)8-14/h1-11,23,26-28,30,38-40H,12H2,(H5-,31,32,33,34,35,36,37)/p+1/t23-,26-,27+,28-,30-/m1/s1	delphinidin-(coumaroyl)-3-O glucoside, trans isomer	609.2667155				25.2991509	NEWT:29760	Vitis vinifera (Grape)										854,970	644,729	565,201	502,796	578,760	971,940	394,561	292,165	346,711	1,542,555	949,804	954,256	933,640	985,226	930,288	1,444,580	1,441,084	1,829,318	1,320,769	1,199,039	1,575,221	857,398	864,553	760,206	1,779,951	1,349,079	1,028,108
CHEBI:75689	C25H27O13	COc1cc(cc(OC)c1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C25H26O13/c1-10(26)35-9-19-21(30)22(31)23(32)25(38-19)37-18-8-13-14(28)6-12(27)7-15(13)36-24(18)11-4-16(33-2)20(29)17(5-11)34-3/h4-8,19,21-23,25,30-32H,9H2,1-3H3,(H2-,27,28,29)/p+1/t19-,21-,22+,23-,25-/m1/s1	malvidin-(acetyl)-3-O-glucoside	533.3992427				25.52273675	NEWT:29760	Vitis vinifera (Grape)										151,805	251,781	136,309	1,091,069	170,580	269,069	225,428	151,968	189,122	143,920	777,080	696,509	233,411	585,960	508,189	627,667	623,768	801,197	797,679	1,364,097	1,505,647	1,231,579	1,243,974	863,632	889,303	1,526,714	1,125,649
CHEBI:75691	C32H31O14	COc1cc(cc(OC)c1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](COC(=O)C=C/c2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C32H30O14/c1-41-22-9-16(10-23(42-2)27(22)37)31-24(13-19-20(35)11-18(34)12-21(19)44-31)45-32-30(40)29(39)28(38)25(46-32)14-43-26(36)8-5-15-3-6-17(33)7-4-15/h3-13,25,28-30,32,38-40H,14H2,1-2H3,(H3-,33,34,35,36,37)/p+1/t25-,28-,29+,30-,32-/m1/s1	malvidin-(coumaroyl)-3-O-glucoside, cis isomer	637.335936				29.06512376	NEWT:29760	Vitis vinifera (Grape)										345,240	92,550	80,396	1,072,201	1,434,378	246,381	979,970	911,598	1,003,046	28,748	54,308	56,004	233,613	153,304	127,643	104,015	55,070	51,813	1,433,923	3,812,427	1,016,197	2,352,488	2,341,180	993,244	93,514	1,237,615	1,078,068
CHEBI:75693	C32H31O14	COc1cc(cc(OC)c1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](COC(=O)C=Cc2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C32H30O14/c1-41-22-9-16(10-23(42-2)27(22)37)31-24(13-19-20(35)11-18(34)12-21(19)44-31)45-32-30(40)29(39)28(38)25(46-32)14-43-26(36)8-5-15-3-6-17(33)7-4-15/h3-13,25,28-30,32,38-40H,14H2,1-2H3,(H3-,33,34,35,36,37)/p+1/t25-,28-,29+,30-,32-/m1/s1	malvidin-(coumaroyl)-3-O-glucoside, trans isomer	637.421505				31.95577771	NEWT:29760	Vitis vinifera (Grape)										1,031,558	2,306,557	3,339,146	1,915,338	4,181,179	2,336,155	2,646,445	2,459,766	2,279,817	1,841,006	2,622,295	2,570,926	2,540,412	3,372,002	3,367,079	4,480,897	4,389,567	6,775,588	6,239,292	6,467,132	6,504,004	6,387,772	6,222,678	4,601,935	6,807,984	7,423,845	5,508,224
CHEBI:75697	C24H25O12	COc1cc(ccc1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C24H24O12/c1-10(25)33-9-19-20(29)21(30)22(31)24(36-19)35-18-8-13-15(28)6-12(26)7-16(13)34-23(18)11-3-4-14(27)17(5-11)32-2/h3-8,19-22,24,29-31H,9H2,1-2H3,(H2-,26,27,28)/p+1/t19-,20-,21+,22-,24-/m1/s1	peonidin-(acetyl)-3-O-glucoside	503.3936823				24.81813922	NEWT:29760	Vitis vinifera (Grape)										304,773	94,520	174,944	324,049	270,958	62,640	161,380	167,616	140,002	13,541	106,181	150,931	48,670	60,732	290,521	125,500	170,622	178,832	350,478	234,706	271,282	298,860	323,853	224,249	165,885	285,759	246,180
CHEBI:75706	C31H29O13	COc1cc(ccc1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](COC(=O)C=C/c2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C31H28O13/c1-40-23-10-16(5-8-20(23)34)30-24(13-19-21(35)11-18(33)12-22(19)42-30)43-31-29(39)28(38)27(37)25(44-31)14-41-26(36)9-4-15-2-6-17(32)7-3-15/h2-13,25,27-29,31,37-39H,14H2,1H3,(H3-,32,33,34,35,36)/p+1/t25-,27-,28+,29-,31-/m1/s1	peonidin-(coumaroyl)-3-O-glucoside, cis isomer	607.553968				28.62227494	NEWT:29760	Vitis vinifera (Grape)										484,091	246,963	107,523	172,104	144,251	310,996	104,391	72,748	113,533	127,928	100,241	137,024	351,599	154,532	140,696	151,400	157,067	157,890	188,527	175,439	229,095	171,001	230,270	179,809	130,585	132,680	117,627
CHEBI:75707	C31H29O13	COc1cc(ccc1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](COC(=O)C=Cc2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C31H28O13/c1-40-23-10-16(5-8-20(23)34)30-24(13-19-21(35)11-18(33)12-22(19)42-30)43-31-29(39)28(38)27(37)25(44-31)14-41-26(36)9-4-15-2-6-17(32)7-3-15/h2-13,25,27-29,31,37-39H,14H2,1H3,(H3-,32,33,34,35,36)/p+1/t25-,27-,28+,29-,31-/m1/s1	peonidin-(coumaroyl)-3-O-glucoside, trans isomer	607.5735307				31.27734035	NEWT:29760	Vitis vinifera (Grape)										658,158	1,830,361	3,239,537	2,594,109	5,492,498	2,408,268	3,068,764	3,239,433	3,013,442	2,379,598	2,750,174	2,832,279	2,554,537	2,312,203	2,485,376	3,261,039	3,409,781	5,385,069	5,389,517	5,592,705	5,844,026	6,221,072	6,135,072	4,991,349	5,445,661	6,242,497	5,289,678
